Fit,Job Title,Company,Location / Remote,Type,Pay,Posted,Key Requirements,Why It Fits You,Apply URL
A,Creative Strategist (International Hire),TNT Growth,"Remote - ONLY for candidates outside the US",Contractor,"$40,000-$50,000/yr + 18 PTO days",2026-09-23,"2+ yrs direct-response paid social creative; portfolio with 3 case studies (hypothesis > concept > result > learning); 3-4 hrs overlap with US Eastern","Pure DR creative strategy: hooks, UGC scripts, Schwartz awareness levels, briefs, testing",https://to.indeed.com/aasl6hs4yf88
A,Creative Strategist,Persist Brands,"Remote - global applicants encouraged",Full-time or contract,"From $2,500/month",2026-09-03,"4-5 yrs DR creative strategy for DTC; winning Meta/TikTok ads; strong copywriting and scripting; UGC briefing","DR ecommerce portfolio (10+ brands, $100M+); copy + strategy combined",https://to.indeed.com/aa9nzryyt88p
A,Director of Copy (Health & Wellness),Hi-Altitude Brands / Stonehenge Health,"Remote (California-based, LA preferred)",Full-time,"$176,000-$197,000/yr + bonus",2026-05-06,"7-10+ yrs DR copy at DTC health/wellness; VSLs, advertorials, landing pages, email/SMS; FTC compliance; managed 2-4 writers","Top-tier DR copy role; posted May so may be filled - check first",https://to.indeed.com/aa8mn2tl84mp
A,Lead Paid Creative Strategist (w/ a Sense of Humor),Shinesty,"Hybrid - Boulder/Denver CO (relocation offered)",Full-time,"$90,000-$110,000/yr",2026-09-24,"5+ yrs paid creative strategy for DTC; Meta-native; creative analytics; manage producers and agencies; funny scripts","Reports to CMO; player/coach concepting + scripting ads",https://to.indeed.com/aa9fpvzd2vcz
B,Junior Copywriter (Renewals),Decentralized Masters,"Remote-first (listed Miami, FL)",Full-time,"$42,294-$62,705/yr",2026-09-16,"1+ yr copywriting; email/SMS/landing pages; reoffer and downsell copy; A/B testing","DR retention copy for a 9-figure info-product company; entry level",https://to.indeed.com/aa24gh4cbcmg
B,Freelance Senior Copywriter,GSW (Syneos Health),"Remote - United States",Freelance,"From $65/hr",2026-09-23,"5-10 yrs writing, 5+ in advertising or healthcare; concept + present to clients","Freelance, well-paid; healthcare ad agency",https://to.indeed.com/aa6v694kzqvn
B,Freelance Copy Supervisor,GSW (Syneos Health),"Remote - United States",Freelance,"From $85/hr",2026-09-23,"Senior healthcare ad copy leadership","Higher-level version of the role above",https://to.indeed.com/aascfvrgv92p
B,Contract Social Creative Strategist & Content Creator,Bowtie Media,"Remote (SF Bay Area preferred)",Contract (10-15 hrs/wk),"$40-$65/hr",2026-08-27,"3+ yrs premium/luxury brand creative; short-form video editing; Adobe/CapCut; portfolio required","Part-time freelance creative strategy; heavier on video/design than copy",https://to.indeed.com/aabsdywh889b
B,Senior Fundraising Copywriter,Avalon Consulting Group,"Annapolis, MD (remote status not verified)",Full-time,"$85,000-$90,000/yr",2026-09-16,"Direct-response fundraising copy (direct mail, digital)","Classic direct response - letters, appeals, donor copy",https://to.indeed.com/aalw2lskcv8q
B,Copywriter,Superpower,"San Francisco, CA",Full-time,"$125,000-$130,000/yr",2026-08-08,"Not reviewed - check listing","Fast-growing health tech; strong pay",https://to.indeed.com/aanlgjmll2nt
B,Media Buyer / Creative Strategist,Sweat Pants Agency,"Remote (listed Knoxville, TN)",Full-time,"$48,448-$85,687/yr",2026-08-16,"Not reviewed - combines media buying with creative","DR performance agency for DTC/health",https://to.indeed.com/aaygk6kv4cxl
C,Senior Copywriter,Avalere Health,Remote,Full-time,"$90,000-$100,000/yr",2026-08-31,"4+ yrs PHARMA agency copy required; AMA style","Only if you have pharma experience",https://to.indeed.com/aaqw9hk8tvtf
