Priority,Full Name,Email Address,Phone Number,Current Job Title,Company Name,Company Website,LinkedIn Profile URL,Company Location,Company Industry,Decision-Maker,Buying Signal (why now),Signal Date,Job Post URL
1,Jens Nicolaysen,Not available (Apollo free plan),Not available (Apollo free plan),Co-Founder & CMO,Shinesty,https://www.shinesty.com,https://www.linkedin.com/in/jensnicolaysen/,"Boulder, CO",DTC apparel / ecommerce,Yes,"Hiring Paid Creative Strategist ($90-110K)",2026-09-24,https://to.indeed.com/aagdmz8s8hjg
1,Chris White,Not available (Apollo free plan),Not available (Apollo free plan),Co-Founder & CEO,Shinesty,https://www.shinesty.com,https://www.linkedin.com/in/chris-white-4b4488a/,"Boulder, CO",DTC apparel / ecommerce,Yes,"Hiring Paid Creative Strategist ($90-110K)",2026-09-24,https://to.indeed.com/aagdmz8s8hjg
1,Allison Porter,Not available (Apollo free plan),Not available (Apollo free plan),Founder & President,Avalon Consulting Group,https://www.avalonconsulting.net,Not found,"Annapolis, MD (job location)",Nonprofit direct-response fundraising agency,Yes,"Hiring Senior Fundraising Copywriter ($85-90K); just absorbed Faircom New York",2026-09-16,https://to.indeed.com/aalw2lskcv8q
1,Salim Elhila,Not available (Apollo free plan),Not available (Apollo free plan),Co-Founder & CEO,Decentralized Masters,https://www.decen-masters.com,Not found,"Miami, FL",Online investment education (info products),Yes,"Hiring Junior Copywriter",2026-09-16,https://to.indeed.com/aa97gt7y9m4n
1,Tan Gera,Not available (Apollo free plan),Not available (Apollo free plan),Co-Founder,Decentralized Masters,https://www.decen-masters.com,https://ae.linkedin.com/in/tan-gera-cfa,"Miami, FL",Online investment education (info products),Yes,"Hiring Junior Copywriter",2026-09-16,https://to.indeed.com/aa97gt7y9m4n
1,Parsa Khademi,Not available (Apollo free plan),Not available (Apollo free plan),CEO,Persist Brands,https://www.persistbrands.com,Not found,Not verified (remote),DTC ecommerce brand portfolio ($100M+ revenue),Yes,"Hiring Creative Strategist (remote)",2026-09-03,https://to.indeed.com/aaj274c8f9bt
2,Adam Treboutat,Not available (Apollo free plan),Not available (Apollo free plan),Founder & CEO,TNT Growth,https://www.tntgrowth.com,https://www.linkedin.com/in/adam-treboutat/,"Miami, FL",Performance marketing agency,Yes,"Hiring Creative Strategist (international hire, $40-50K) - candidate for outsourced/white-label creative",2026-09-23,https://to.indeed.com/aalqycz2dl7m
2,Eric Carlson,Not available (Apollo free plan),Not available (Apollo free plan),Co-Founder,Sweat Pants Agency,https://www.sweatpantsagency.com,https://www.linkedin.com/in/ecarls1/,"Knoxville, TN",Performance marketing agency (DTC / health),Yes,"Hiring Media Buyer / Creative Strategist",2026-08-16,https://to.indeed.com/aaygk6kv4cxl
2,Landon Shaw,Not available (Apollo free plan),Not available (Apollo free plan),Co-Founder,Sweat Pants Agency,https://www.sweatpantsagency.com,Not found,"Knoxville, TN",Performance marketing agency (DTC / health),Yes,"Hiring Media Buyer / Creative Strategist",2026-08-16,https://to.indeed.com/aaygk6kv4cxl
2,Dan Valine,Not available (Apollo free plan),Not available (Apollo free plan),Founder & Chief Digital Strategist,Bowtie Media,https://www.bowtiemedia.com,https://www.linkedin.com/in/danvaline/,"San Francisco Bay Area, CA",Digital / social marketing agency,Yes,"Hiring CONTRACT Social Creative Strategist ($40-65/hr) - open to freelancers",2026-08-27,https://to.indeed.com/aaxcpw8hhhxb
2,Max Marchione,Not available (Apollo free plan),Not available (Apollo free plan),Co-Founder (CEO - verify),Superpower,https://www.superpower.com,Not found,"San Francisco, CA",Consumer health tech,Yes,"Hiring Copywriter ($125-130K); recently hiring CMO; raised $30M Series A",2026-08-08,https://to.indeed.com/aanlgjmll2nt
2,Jacob Peters,Not available (Apollo free plan),Not available (Apollo free plan),Co-Founder,Superpower,https://www.superpower.com,Not found,"San Francisco, CA",Consumer health tech,Yes,"Hiring Copywriter ($125-130K)",2026-08-08,https://to.indeed.com/aanlgjmll2nt
3,Sarah Ortega,Not available (Apollo free plan),Not available (Apollo free plan),Founder & CEO,Sarah O. Jewelry,https://www.sarahojewelry.com,https://www.linkedin.com/in/sarah-ortega-7b4882a2/,"Wheat Ridge / Denver, CO",DTC fine jewelry,Yes,"Hiring Content & Social Strategist ($90-105K)",2026-08-03,https://to.indeed.com/aax8jbt2ppyz
3,Michael Brenner,Not available (Apollo free plan),Not available (Apollo free plan),Founder & CEO (verify),Marketing Insider Group,https://www.marketinginsidergroup.com,Not found,Remote (US),Content marketing agency,Yes,"Hiring Creative Strategist & AI Ad Producer",2026-09-17,https://to.indeed.com/aactzyjj6krx
3,Craig Atkinson,Not available (Apollo free plan),Not available (Apollo free plan),CEO,Code3,https://www.code3.com,Not found,US (remote),Digital commerce / media agency (larger - long shot),Yes,"Hiring Paid Social Strategist",2026-09-23,https://to.indeed.com/aacrv8vmg7yn
